Province/State,Country/Region,Lat,Long,Population
,San Marino,43.9424,12.4578,33860
,Sao Tome and Principe,0.18636,6.613081,215056
,Saudi Arabia,24,45,34268528
,Senegal,14.4974,-14.4524,16296364
,Serbia,44.0165,21.0059,6944975
,Seychelles,-4.6796,55.492,97625
,Sierra Leone,8.460555,-11.779889,7813215
,Singapore,1.2833,103.8333,5703569
,Slovakia,48.669,19.699,5454073
,Slovenia,46.1512,14.9955,2087946
,Somalia,5.1521,46.1996,15442905
,South Africa,-30.5595,22.9375,58558270
,South Sudan,6.877,31.307,11062113
,Spain,40,-4,47076781
,Sri Lanka,7,81,21803000
,Sudan,12.8628,30.2176,42813238
,Suriname,3.9193,-56.0278,581372
,Sweden,63,16,10285453
,Switzerland,46.8182,8.2275,8574832
,Syria,34.802075,38.996815,17070135
,Taiwan*,23.7,121,23780000
,Tajikistan,38.861034,71.276093,9321018
,Tanzania,-6.369,34.8888,58005463
,Thailand,15,101,69625582
,Timor-Leste,-8.874217,125.727539,1293119
,Togo,8.6195,0.8248,8082366
,Trinidad and Tobago,10.6918,-61.2225,1394973
,Tunisia,34,9,11694719
,Turkey,38.9637,35.2433,83429615
,Uganda,1,32,44269594
,Ukraine,48.3794,31.1656,44385155
,United Arab Emirates,24,54,9770529
Bermuda,United Kingdom,32.3078,-64.7505,63968
Cayman Islands,United Kingdom,19.3133,-81.2546,64174
Channel Islands,United Kingdom,49.3723,-2.3644,170499
Gibraltar,United Kingdom,36.1408,-5.3536,33718
Isle of Man,United Kingdom,54.2361,-4.5481,84077
Montserrat,United Kingdom,16.7425,-62.1874,4649
Mainland United Kingdom,United Kingdom,55.3781,-3.436,66650000
Anguilla,United Kingdom,18.2206,-63.0686,15094
British Virgin Islands,United Kingdom,18.4207,-64.64,29802
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,37665
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2840
,Uruguay,-32.5228,-55.7658,3461734
,US,37.0902,-95.7129,328239523
,Uzbekistan,41.3775,64.5853,33580650
